49;АВДА,Авда;{"name": "Авда","statCode": "2038758","country": "Россия"}
50;АВДЕЕВКА,Авдеевка;{"name": "Авдеевка","statCode": "2214039"}
51;АВЕРЬЯНОВК,Аверьяновка;{"name": "Аверьяновка","statCode": "2038129","country": "Россия"}
52;Авила,ЖД вокзал Авилы,ЖД-вокзал Авилы,Авилы,Авиле,Авилу,Авилой;{"name": "Авила", "airport": "AVS", "country": "Испания"}
53;АВИЛОВО,Авилово;{"name": "Авилово","statCode": "2020752","country": "Россия"}
54;Авиньон,Авиньона,Авиньону,Авиньоном,Авиньоне;{"name": "Авиньон", "airport": "AVN", "country": "Франция"}
55;Автобусная станция Леон;{"name": "Автобусная станция Леон", "airport": "LZB", "country": "Испания"}
56;Автобусная станция у стадиона «Раздан»;{"name": "Автобусная станция у стадиона «Раздан»", "airport": "XAA", "country": "Армения"}
57;Автобусная станция Ханчжоу;{"name": "Автобусная станция Ханчжоу", "airport": "HHL", "country": "Китай"}
58;Автовокзал Альбасете;{"name": "Автовокзал Альбасете", "airport": "XJJ", "country": "Испания"}
59;Автовокзал Бонна Томасштрассе;{"name": "Автовокзал Бонна (Томасштрассе)", "airport": "QBB", "country": "Германия"}
60;Автовокзал Брно;{"name": "Автовокзал Брно", "airport": "ZDN", "country": "Чехия"}
61;Автовокзал Бургоса;{"name": "Автовокзал Бургоса", "airport": "XJU", "country": "Испания"}
62;Автовокзал Буэнос-Айреса;{"name": "Автовокзал Буэнос-Айреса", "airport": "BBE", "country": "Аргентина"}
63;Автовокзал Вальядолида;{"name": "Автовокзал Вальядолида", "airport": "XJN", "country": "Испания"}
64;Автовокзал Витории;{"name": "Автовокзал Витории", "airport": "VTI", "country": "Испания"}
65;Автовокзал Даммама;{"name": "Автовокзал Даммама", "airport": "DMS", "country": "Саудовская Аравия"}
66;Автовокзал Загреба;{"name": "Автовокзал Загреба", "airport": "ZGC", "country": "Хорватия"}
67;Автовокзал Ижевск Центральный;{"name": "Автовокзал Ижевск (Центральный)", "airport": "IJB", "country": "Россия"}
